activity_id,assay_id,standard_type,pchembl_value,tid,target_type,pref_name,class_level,lotus_id,pathway,superclass,class,pathway_superclass
2155745,466706,Kd,9.17,12643,SINGLE PROTEIN,Secreted protein,1.0,LTS0139690,Terpenoids,Steroids,Androstane steroids,"Terpenoids, Steroids"
19143403,1875739,Ki,9.17,119120,SINGLE PROTEIN,Hydrolase,2.0,LTS0186195,Carbohydrates,Other,Other,"Carbohydrates, Other"
19491388,1936697,EC50,9.16,119204,SINGLE PROTEIN,Family A G protein-coupled receptor,2.0,LTS0046173,Terpenoids,Steroids,Androstane steroids,"Terpenoids, Steroids"
1191535,139895,Ki,9.15,10648,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
7598748,774586,Kd,9.15,30001,SINGLE PROTEIN,CAMK protein kinase MARK subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
1284256,28925,Ki,9.15,10666,SINGLE PROTEIN,Hydrolase,2.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
267597,219514,Ki,9.15,10355,SINGLE PROTEIN,Melatonin receptor,5.0,LTS0219322,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,"Alkaloids, Tryptophan alkaloids"
1490196,305951,IC50,9.15,20158,SINGLE PROTEIN,AGC protein kinase PKG family,5.0,LTS0208868,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,"Alkaloids, Tryptophan alkaloids"
16774872,1622137,Ki,9.13,12376,SINGLE PROTEIN,Kainate receptor,4.0,LTS0000058,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
1023057,146451,IC50,9.12,10315,SINGLE PROTEIN,Opioid receptor,5.0,LTS0246876,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
19323243,1915584,Ki,9.12,119104,SINGLE PROTEIN,Ligase,2.0,LTS0034414,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,"Alkaloids, Nicotinic acid alkaloids"
16390886,1539616,IC50,9.12,105533,SINGLE PROTEIN,Hydrolase,2.0,LTS0141621,Shikimates and Phenylpropanoids,Other,Other,"Shikimates and Phenylpropanoids, Other"
7673522,774688,IC50,9.11,10576,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0042813,Alkaloids,Tryptophan alkaloids,Ergot alkaloids,"Alkaloids, Tryptophan alkaloids"
19323241,1915584,Ki,9.11,119104,SINGLE PROTEIN,Ligase,2.0,LTS0108275,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,"Alkaloids, Nicotinic acid alkaloids"
2155743,466706,Kd,9.11,12643,SINGLE PROTEIN,Secreted protein,1.0,LTS0092701,Terpenoids,Steroids,Androstane steroids,"Terpenoids, Steroids"
9520149,809141,Ki,9.1,10938,SINGLE PROTEIN,Tyrosine protein kinase JakB family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
18963494,1834733,Ki,9.1,12209,SINGLE PROTEIN,Lyase,2.0,LTS0051056,Amino acids and Peptides,Other,Other,"Amino acids and Peptides, Other"
689954,915,Ki,9.1,51,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
19491385,1936697,EC50,9.1,119204,SINGLE PROTEIN,Family A G protein-coupled receptor,2.0,LTS0047234,Terpenoids,Steroids,Androstane steroids,"Terpenoids, Steroids"
12485357,915023,IC50,9.1,12932,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0180829,Polyketides,Linear polyketides,Acetogenins,"Polyketides, Linear polyketides"
368377,88805,IC50,9.1,11787,SINGLE PROTEIN,Ligase,2.0,LTS0079533,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
9656576,809262,Ki,9.1,10811,SINGLE PROTEIN,AGC protein kinase ROCK subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9649093,809283,Ki,9.1,11969,SINGLE PROTEIN,AGC protein kinase PKA family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9516724,809161,Ki,9.1,101317,SINGLE PROTEIN,CAMK protein kinase MARK subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
3395367,648993,Ki,9.1,12566,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
9591805,809226,Ki,9.1,197,SINGLE PROTEIN,Tyrosine protein kinase PDGFR family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9621049,809196,Ki,9.1,10842,SINGLE PROTEIN,AGC protein kinase PKN family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
2609891,542628,Kd,9.1,11213,SINGLE PROTEIN,Other cytosolic protein,1.0,LTS0109902,Polyketides,Macrolides,Ansa macrolides,"Polyketides, Macrolides"
18938924,1828556,IC50,9.09,20095,SINGLE PROTEIN,Enzyme,1.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
5131559,700657,Ki,9.09,10186,SINGLE PROTEIN,Lyase,2.0,LTS0063398,Shikimates and Phenylpropanoids,Other,Other,"Shikimates and Phenylpropanoids, Other"
587049,35351,Ki,9.08,10230,SINGLE PROTEIN,Metallo protease M1 family,5.0,LTS0033930,Amino acids and Peptides,Small peptides,Dipeptides,"Amino acids and Peptides, Small peptides"
2155742,466706,Kd,9.08,12643,SINGLE PROTEIN,Secreted protein,1.0,LTS0255168,Terpenoids,Steroids,Estrane steroids,"Terpenoids, Steroids"
7700637,774689,IC50,9.07,10577,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0083989,Alkaloids,Tryptophan alkaloids,Ergot alkaloids,"Alkaloids, Tryptophan alkaloids"
3395368,648994,Ki,9.07,10688,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
2098560,468558,Ki,9.06,10647,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0163635,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
18482298,1750399,Kd,9.06,101476,SINGLE PROTEIN,Enzyme,1.0,LTS0195979,Terpenoids,Diterpenoids,Abietane diterpenoids,"Terpenoids, Diterpenoids"
18586467,1771432,IC50,9.05,18044,SINGLE PROTEIN,Aspartic protease A1A subfamily,5.0,LTS0169498,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
81267,141743,IC50,9.05,10412,SINGLE PROTEIN,Enzyme,1.0,LTS0198194,Polyketides,Linear polyketides,Acetogenins,"Polyketides, Linear polyketides"
3122312,612633,Ki,9.04,102910,SINGLE PROTEIN,Phosphatase,2.0,LTS0160855,Carbohydrates,Nucleosides,Purine nucleotides,"Carbohydrates, Nucleosides"
1127764,3767,Ki,9.03,11923,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0011527,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,"Alkaloids, Tryptophan alkaloids"
12635225,934018,IC50,9.03,12697,SINGLE PROTEIN,HDAC class I,4.0,LTS0148956,Polyketides,Other,Other,"Polyketides, Other"
2098562,468560,Ki,9.02,12566,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0163635,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
12601340,932090,IC50,9.02,11092,SINGLE PROTEIN,Membrane receptor,1.0,LTS0111919,Shikimates and Phenylpropanoids,Flavonoids,Chalcones,"Shikimates and Phenylpropanoids, Flavonoids"
2155737,466706,Kd,9.0,12643,SINGLE PROTEIN,Secreted protein,1.0,LTS0152326,Terpenoids,Steroids,Androstane steroids,"Terpenoids, Steroids"
2542511,525038,IC50,9.0,17047,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0226506,Terpenoids,Diterpenoids,Tigliane diterpenoids,"Terpenoids, Diterpenoids"
4358887,688140,Potency,9.0,100639,SINGLE PROTEIN,Metallo protease M34 family,5.0,LTS0123569,Shikimates and Phenylpropanoids,Lignans,Arylnaphthalene and aryltetralin lignans,"Shikimates and Phenylpropanoids, Lignans"
2136812,473844,IC50,9.0,11409,SINGLE PROTEIN,STE protein kinase STE7 family,5.0,LTS0194121,Shikimates and Phenylpropanoids,Lignans,Dibenzylbutyrolactone lignans,"Shikimates and Phenylpropanoids, Lignans"
1651544,325059,Kd,9.0,12735,SINGLE PROTEIN,CAMK protein kinase PHk family,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
18397669,1733841,Ki,9.0,107980,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0190915,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,"Shikimates and Phenylpropanoids, Coumarins"
2720864,584483,IC50,9.0,20127,SINGLE PROTEIN,Enzyme,1.0,LTS0121878,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
3674547,688453,Potency,9.0,103669,SINGLE PROTEIN,Enzyme,1.0,LTS0062692,Alkaloids,Ornithine alkaloids,Other,"Alkaloids, Ornithine alkaloids"
609105,79057,IC50,9.0,17128,SINGLE PROTEIN,HDAC class I,4.0,LTS0205086,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
204929,161771,IC50,9.0,17130,SINGLE PROTEIN,Protein phosphatase regulatory subunit,4.0,LTS0001343,Polyketides,Polyethers,Polyether ionophores,"Polyketides, Polyethers"
422798,98648,Ki,9.0,102414,SINGLE PROTEIN,Leukotriene receptor,5.0,LTS0050236,Fatty acids,Eicosanoids,Leukotrienes,"Fatty acids, Eicosanoids"
6180548,744971,IC50,9.0,93,SINGLE PROTEIN,Hydrolase,2.0,LTS0109858,Terpenoids,Meroterpenoids,Triketide meroterpenoids,"Terpenoids, Meroterpenoids"
7596917,774293,Kd,9.0,101220,SINGLE PROTEIN,STE protein kinase MSN subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
2401894,563009,IC50,9.0,101012,SINGLE PROTEIN,HDAC class I,4.0,LTS0023988,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
12437623,908843,Ki,9.0,104447,SINGLE PROTEIN,Nicotinic acetylcholine receptor,3.0,LTS0030789,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
18916040,1822228,IC50,9.0,18072,SINGLE PROTEIN,Voltage-gated sodium channel,3.0,LTS0102126,Alkaloids,Other,Other,"Alkaloids, Other"
5218625,725476,Ki,9.0,102873,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0254025,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,"Alkaloids, Nicotinic acid alkaloids"
19323237,1915584,Ki,9.0,119104,SINGLE PROTEIN,Ligase,2.0,LTS0179922,Alkaloids,Anthranilic acid alkaloids,Quinoline alkaloids,"Alkaloids, Anthranilic acid alkaloids"
18721939,1786534,IC50,9.0,117981,SINGLE PROTEIN,Isomerase,2.0,LTS0107850,Polyketides,Macrolides,Ascomycins and Rapamycins,"Polyketides, Macrolides"
19323686,1915663,IC50,9.0,12343,SINGLE PROTEIN,Transferase,2.0,LTS0200539,Terpenoids,Meroterpenoids,Triketide meroterpenoids,"Terpenoids, Meroterpenoids"
174476,87394,IC50,9.0,17128,SINGLE PROTEIN,HDAC class I,4.0,LTS0023988,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
2542514,525038,IC50,9.0,17047,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0007094,Terpenoids,Diterpenoids,Tetracyclic diterpenoids,"Terpenoids, Diterpenoids"
2100955,469572,Ki,9.0,11009,SINGLE PROTEIN,SLC18 family of vesicular amine transporters,4.0,LTS0048192,Alkaloids,Tryptophan alkaloids,Corynanthe type,"Alkaloids, Tryptophan alkaloids"
2542513,525038,IC50,9.0,17047,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0232042,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
3928143,688724,Potency,9.0,103069,SINGLE PROTEIN,Phosphodiesterase,2.0,LTS0195285,Shikimates and Phenylpropanoids,Stilbenoids,Monomeric stilbenes,"Shikimates and Phenylpropanoids, Stilbenoids"
2691770,579651,IC50,9.0,11362,SINGLE PROTEIN,Transferase,2.0,LTS0082719,Terpenoids,Steroids,Androstane steroids,"Terpenoids, Steroids"
2146809,476891,Kd,9.0,118422,SINGLE PROTEIN,Electrochemical transporter,2.0,LTS0205466,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
2077379,462117,IC50,9.0,93,SINGLE PROTEIN,Hydrolase,2.0,LTS0102878,Fatty acids,Fatty Acids and Conjugates,Thia fatty acids,"Fatty acids, Fatty Acids and Conjugates"
7696370,774699,IC50,8.99,52,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0083989,Alkaloids,Tryptophan alkaloids,Ergot alkaloids,"Alkaloids, Tryptophan alkaloids"
18916081,1822232,IC50,8.96,18079,SINGLE PROTEIN,Voltage-gated sodium channel,3.0,LTS0102126,Alkaloids,Other,Other,"Alkaloids, Other"
4741998,688259,Potency,8.96,103670,SINGLE PROTEIN,Enzyme,1.0,LTS0017469,Carbohydrates,Nucleosides,Purine nucleosides,"Carbohydrates, Nucleosides"
7598737,774575,Kd,8.96,101504,SINGLE PROTEIN,CAMK protein kinase QIK subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
19464467,1931637,Ki,8.96,12247,SINGLE PROTEIN,AGC protein kinase PKC delta subfamily,6.0,LTS0032764,Polyketides,Macrolides,Bryostatins,"Polyketides, Macrolides"
3624007,688422,Potency,8.96,103668,SINGLE PROTEIN,Structural protein,1.0,LTS0189111,Alkaloids,Tryptophan alkaloids,Aspidosperma type,"Alkaloids, Tryptophan alkaloids"
2450135,487956,Ki,8.96,12518,SINGLE PROTEIN,Kainate receptor,4.0,LTS0245308,Alkaloids,Ornithine alkaloids,Other,"Alkaloids, Ornithine alkaloids"
19118679,1871299,EC50,8.96,88,SINGLE PROTEIN,Dopamine receptor,5.0,LTS0263634,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,"Shikimates and Phenylpropanoids, Phenolic acids (C6-C1)"
1167530,148515,Ki,8.96,12471,SINGLE PROTEIN,Opioid receptor,5.0,LTS0089607,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
155051,159969,Kd,8.95,191,SINGLE PROTEIN,Aspartic protease A2A subfamily,5.0,LTS0007212,Carbohydrates,Nucleosides,Purine nucleotides,"Carbohydrates, Nucleosides"
19323236,1915584,Ki,8.94,119104,SINGLE PROTEIN,Ligase,2.0,LTS0200484,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,"Alkaloids, Nicotinic acid alkaloids"
16295531,1534909,IC50,8.93,100413,SINGLE PROTEIN,Tyrosine protein kinase Trk family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
94898,161770,IC50,8.93,13061,SINGLE PROTEIN,Tyrosine protein phosphatase,4.0,LTS0057516,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
99052,161770,IC50,8.92,13061,SINGLE PROTEIN,Tyrosine protein phosphatase,4.0,LTS0252021,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
18939128,1828751,IC50,8.92,101131,SINGLE PROTEIN,STE protein kinase TAO subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
16774871,1622138,Ki,8.92,12378,SINGLE PROTEIN,Kainate receptor,4.0,LTS0000058,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
16543709,1567405,Ki,8.91,17018,SINGLE PROTEIN,Hydrolase,2.0,LTS0063684,Shikimates and Phenylpropanoids,Other,Other,"Shikimates and Phenylpropanoids, Other"
18939108,1828731,IC50,8.91,102770,SINGLE PROTEIN,CAMK protein kinase QIK subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9673853,809269,Ki,8.9,10612,SINGLE PROTEIN,AGC protein kinase PDK1 subfamily,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9516114,809146,Ki,8.9,100856,SINGLE PROTEIN,Other protein kinase IKK family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
2702814,582869,IC50,8.89,102418,SINGLE PROTEIN,Nuclear receptor,2.0,LTS0254731,Terpenoids,Steroids,Ecdysteroids,"Terpenoids, Steroids"
1651720,325050,Kd,8.89,30000,SINGLE PROTEIN,Other protein kinase NAK family,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
12476881,912706,IC50,8.89,12543,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0226815,Shikimates and Phenylpropanoids,Flavonoids,Chalcones,"Shikimates and Phenylpropanoids, Flavonoids"
3504862,665135,Ki,8.89,10878,SINGLE PROTEIN,AGC protein kinase PKC eta subfamily,6.0,LTS0059840,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
18012271,1654816,IC50,8.89,11092,SINGLE PROTEIN,Surface antigen,1.0,LTS0142039,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
16482510,1557255,EC50,8.89,227,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0170784,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
7598543,774386,Kd,8.89,12944,SINGLE PROTEIN,AGC protein kinase p70 subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
19491372,1936697,EC50,8.89,119204,SINGLE PROTEIN,Family A G protein-coupled receptor,2.0,LTS0150409,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
6318867,760772,Kd,8.87,100098,SINGLE PROTEIN,Other protein kinase WEE family,5.0,LTS0013651,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,"Polyketides, Polycyclic aromatic polyketides"
16323029,1528740,IC50,8.87,100909,SINGLE PROTEIN,TKL protein kinase STKR Type 1 subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
12554279,923892,Kd,8.85,106608,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0217362,Alkaloids,Other,Other,"Alkaloids, Other"
4015151,688798,Potency,8.85,271,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group A member 2,5.0,LTS0145183,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,"Alkaloids, Tryptophan alkaloids"
5165980,714884,IC50,8.85,10965,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0133688,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
4783110,688620,Potency,8.85,103664,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group F member 3,5.0,LTS0252021,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
12637446,937313,Ki,8.85,10647,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
431963,39446,IC50,8.85,10841,SINGLE PROTEIN,Membrane receptor,1.0,LTS0029480,Alkaloids,Tyrosine alkaloids,Phenylethylamines,"Alkaloids, Tyrosine alkaloids"
19302695,1911481,Ki,8.85,12167,SINGLE PROTEIN,Nicotinic acetylcholine receptor alpha subunit,4.0,LTS0134726,Alkaloids,Pseudoalkaloids (transamidation),Terpenoid alkaloids,"Alkaloids, Pseudoalkaloids (transamidation)"
504370,138524,Kd,8.83,100872,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
15075455,1457838,Ki,8.83,215,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
15606772,1496377,IC50,8.82,10323,SINGLE PROTEIN,Metallo protease M14A subfamily,5.0,LTS0270901,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
12485361,915023,IC50,8.82,12932,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0121689,Polyketides,Linear polyketides,Acetogenins,"Polyketides, Linear polyketides"
15606771,1496377,IC50,8.82,10323,SINGLE PROTEIN,Metallo protease M14A subfamily,5.0,LTS0171169,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
3539797,679996,IC50,8.81,103609,SINGLE PROTEIN,Hydrolase,2.0,LTS0229483,Other,Other,Other,"Other, Other"
2336806,548718,Ki,8.81,11635,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0174355,Polyketides,Macrolides,Bryostatins,"Polyketides, Macrolides"
9584359,809225,Ki,8.8,30023,SINGLE PROTEIN,Tyrosine protein kinase Ack family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
18939010,1828639,IC50,8.8,30024,SINGLE PROTEIN,STE protein kinase MST subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9606038,809200,Ki,8.8,11691,SINGLE PROTEIN,Tyrosine protein kinase Src family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
4937847,688600,Potency,8.8,103670,SINGLE PROTEIN,Enzyme,1.0,LTS0219322,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,"Alkaloids, Tryptophan alkaloids"
4925881,688600,Potency,8.8,103670,SINGLE PROTEIN,Enzyme,1.0,LTS0159153,Carbohydrates,Nucleosides,Purine nucleosides,"Carbohydrates, Nucleosides"
9548891,809138,Ki,8.8,12724,SINGLE PROTEIN,CAMK protein kinase RSKb subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
4941813,688600,Potency,8.8,103670,SINGLE PROTEIN,Enzyme,1.0,LTS0008606,Shikimates and Phenylpropanoids,Other,Other,"Shikimates and Phenylpropanoids, Other"
9552356,809115,Ki,8.8,101464,SINGLE PROTEIN,STE protein kinase MSN subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
12164416,875037,Ki,8.8,107,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0042233,Alkaloids,Tryptophan alkaloids,Ergot alkaloids,"Alkaloids, Tryptophan alkaloids"
16667609,1612809,Kd,8.8,11019,SINGLE PROTEIN,AGC protein kinase PKG family,5.0,LTS0098300,Alkaloids,Other,Other,"Alkaloids, Other"
13514156,989563,Ki,8.8,100067,SINGLE PROTEIN,Metallo protease M28A subfamily,6.0,LTS0053445,Amino acids and Peptides,Other,Other,"Amino acids and Peptides, Other"
18741970,1790497,Kd,8.8,117876,SINGLE PROTEIN,Auxiliary transport protein,1.0,LTS0064550,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,"Alkaloids, Nicotinic acid alkaloids"
2948011,594474,IC50,8.79,102438,SINGLE PROTEIN,Hydrolase,2.0,LTS0243518,Shikimates and Phenylpropanoids,Styrylpyrones,Kavalactones and derivatives,"Shikimates and Phenylpropanoids, Styrylpyrones"
7768300,774719,IC50,8.77,10627,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0126025,Polyketides,Polyethers,Polyether ionophores,"Polyketides, Polyethers"
1158808,67687,IC50,8.77,174,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group A member 2,5.0,LTS0144497,Shikimates and Phenylpropanoids,Isoflavonoids,Coumaronochromones,"Shikimates and Phenylpropanoids, Isoflavonoids"
16620134,1586606,Ki,8.77,11060,SINGLE PROTEIN,Lyase,2.0,LTS0051056,Amino acids and Peptides,Other,Other,"Amino acids and Peptides, Other"
6262893,753180,Ki,8.77,129,SINGLE PROTEIN,Opioid receptor,5.0,LTS0020080,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,"Alkaloids, Tyrosine alkaloids"
739235,149174,Ki,8.77,10549,SINGLE PROTEIN,Vasopressin and oxytocin receptor,5.0,LTS0236956,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
18563548,1766899,IC50,8.75,118131,SINGLE PROTEIN,SLC18 family of vesicular amine transporters,4.0,LTS0048192,Alkaloids,Tryptophan alkaloids,Corynanthe type,"Alkaloids, Tryptophan alkaloids"
3654299,688422,Potency,8.74,103668,SINGLE PROTEIN,Structural protein,1.0,LTS0167916,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids,"Alkaloids, Anthranilic acid alkaloids"
12491911,917697,IC50,8.74,106552,SINGLE PROTEIN,Nicotinic acetylcholine receptor,3.0,LTS0100006,Alkaloids,Pseudoalkaloids,pteridine alkaloids,"Alkaloids, Pseudoalkaloids"
15697708,1512601,Ki,8.74,51,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0170784,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
13340396,965476,IC50,8.74,10034,SINGLE PROTEIN,Bradykinin receptor,5.0,LTS0150409,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
12697487,947886,IC50,8.74,11752,SINGLE PROTEIN,Tyrosine protein kinase VEGFR family,5.0,LTS0219245,Alkaloids,Other,Other,"Alkaloids, Other"
2098564,468562,Ki,8.74,10688,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0163635,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
4018960,688798,Potency,8.74,271,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group A member 2,5.0,LTS0016785,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavones,"Shikimates and Phenylpropanoids, Isoflavonoids"
141696,218248,Ki,8.74,11636,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0029561,Terpenoids,Diterpenoids,Tetracyclic diterpenoids,"Terpenoids, Diterpenoids"
